行,列,梯度值,该点值
458,458,25.052089,15.428283
606,606,25.031782,15.428281
672,672,25.024334,15.428283
671,671,24.993828,15.428278
654,654,24.946317,15.428281
654,671,24.919831,15.371808
671,654,24.919831,15.371808
655,655,24.912884,15.428280
464,464,24.910900,15.428283
482,482,24.906733,15.428280
667,667,24.901375,15.428281
654,655,24.891983,-2.211429
655,654,24.891983,-2.211429
618,672,24.884180,-2.517064
672,618,24.884180,-2.517064
672,667,24.883654,-2.439468
667,672,24.883654,-2.439468
613,613,24.868046,15.428281
636,655,24.867066,-2.280355
655,636,24.867066,-2.280355
690,672,24.859435,-2.312558
672,690,24.859435,-2.312558
458,671,24.858008,15.313450
671,458,24.858008,15.313450
671,672,24.856253,-2.245027
672,671,24.856253,-2.245027
513,672,24.854990,-2.406439
672,513,24.854990,-2.406439
655,618,24.850903,-2.399756
618,655,24.850903,-2.399756
672,679,24.841762,-2.458547
679,672,24.841762,-2.458547
655,679,24.834613,-2.334032
679,655,24.834613,-2.334032
636,636,24.825504,15.428279
644,644,24.820096,15.428281
672,636,24.811737,-2.425316
636,672,24.811737,-2.425316
637,637,24.807454,15.428278
483,482,24.805117,-2.183440
482,483,24.805117,-2.183440
630,672,24.804989,-2.367335
672,630,24.804989,-2.367335
652,652,24.801541,15.428277
655,483,24.799410,-2.352172
483,655,24.799410,-2.352172
618,644,24.797147,-2.250686
644,618,24.797147,-2.250686
458,654,24.789649,15.284972
654,458,24.789649,15.284972
647,672,24.789465,-2.457995
672,647,24.789465,-2.457995
655,513,24.788798,-2.309897
513,655,24.788798,-2.309897
630,630,24.788454,15.428283
652,655,24.788347,-2.288080
655,652,24.788347,-2.288080
638,672,24.781656,-2.419091
672,638,24.781656,-2.419091
682,672,24.781607,-2.511364
672,682,24.781607,-2.511364
637,636,24.779843,-2.126003
636,637,24.779843,-2.126003
606,655,24.778779,-2.330662
655,606,24.778779,-2.330662
613,655,24.773410,15.335441
655,613,24.773410,15.335441
682,655,24.771826,-2.353156
655,682,24.771826,-2.353156
654,672,24.769009,-2.379588
672,654,24.769009,-2.379588
667,655,24.755897,-2.348200
655,667,24.755897,-2.348200
606,672,24.755344,-2.458357
672,606,24.755344,-2.458357
458,464,24.753013,15.264419
464,458,24.753013,15.264419
653,618,24.752663,-2.262392
618,653,24.752663,-2.262392
618,691,24.751574,-2.250122
691,618,24.751574,-2.250122
672,464,24.750624,-2.320634
464,672,24.750624,-2.320634
449,449,24.743609,15.428278
618,618,24.739645,15.428283
653,653,24.738201,15.428283
637,655,24.733072,15.338278
655,637,24.733072,15.338278
672,451,24.730948,-2.337552
451,672,24.730948,-2.337552
671,464,24.728352,15.266754
464,671,24.728352,15.266754
644,682,24.727602,-2.193539
682,644,24.727602,-2.193539
613,618,24.726699,-2.266150
618,613,24.726699,-2.266150
451,655,24.724085,-2.233411
655,451,24.724085,-2.233411
458,630,24.722874,15.303649
630,458,24.722874,15.303649
